,TotalSleepInCol,WokeCounts,SEMarkers,TotalSleepInColBlock,RecallBlock,F1,SEOnlyREST,SESelfBlock,WASO,Recall,PrecisionBlock,SEGTBlock,TotalSleepTime,Specificity,Precision,PercentSleepBlock,SpecificityBlock,SESelfBlock5Min,~F1Block,SEInterval,F1Block,Accuracy,SEWholeDF,~F1,PercentSleep,AccuracyBlock,DeltaStartBlock,DeltaEndBlock
tl_oakley80,107486.9  +- 15369.8 ,21.4  +- 51.7 ,95.3  +- 7.3 ,100569.0  +- 27256.1 ,92.3  +- 23.6 ,79.1  +- 8.5 ,99.1  +- 1.3 ,97.5  +- 4.2 ,1251.2  +- 3264.9 ,99.4  +- 1.9 ,78.9  +- 22.8 ,98.7  +- 3.0 ,88860.7  +- 14424.3 ,32.4  +- 18.9 ,66.4  +- 11.5 ,80.1  +- 19.8 ,53.6  +- 26.2 ,90.0  +- 12.9 ,59.5  +- 24.0 ,98.2  +- 3.2 ,84.6  +- 22.4 ,70.7  +- 10.8 ,85.7  +- 8.5 ,45.6  +- 22.0 ,85.7  +- 8.5 ,81.2  +- 16.6 ,3190 +- 3135,4551 +- 6968
resc_oakley80,87067.9  +- 14334.1 ,2181.0  +- 1248.2 ,82.1  +- 10.1 ,88311.9  +- 27104.1 ,88.8  +- 24.6 ,83.7  +- 7.9 ,88.7  +- 6.0 ,87.8  +- 9.6 ,11229.8  +- 8031.3 ,93.2  +- 5.3 ,88.4  +- 20.0 ,87.8  +- 8.0 ,78882.1  +- 13640.5 ,62.6  +- 17.1 ,76.9  +- 11.8 ,70.3  +- 20.0 ,79.9  +- 23.1 ,97.0  +- 4.0 ,74.8  +- 23.1 ,86.6  +- 7.4 ,86.7  +- 22.8 ,80.0  +- 9.0 ,69.4  +- 9.4 ,71.3  +- 14.5 ,69.4  +- 9.4 ,85.1  +- 18.9 ,1965 +- 2508,3940 +- 7395
resc_tl_oakley80,101227.4  +- 15827.2 ,21.4  +- 53.9 ,92.9  +- 9.1 ,93747.6  +- 28233.3 ,89.8  +- 25.0 ,80.9  +- 8.5 ,97.6  +- 3.1 ,97.5  +- 5.5 ,2888.1  +- 5036.1 ,98.1  +- 3.6 ,83.3  +- 21.6 ,96.9  +- 5.0 ,87223.8  +- 14729.9 ,42.1  +- 20.9 ,69.7  +- 11.8 ,74.8  +- 20.7 ,65.2  +- 28.0 ,95.0  +- 4.9 ,66.6  +- 25.6 ,96.3  +- 4.8 ,85.0  +- 22.8 ,74.2  +- 10.7 ,80.7  +- 9.9 ,55.0  +- 22.4 ,80.7  +- 9.9 ,82.6  +- 17.8 ,2832 +- 2832,4394 +- 7697
tl_resc_oakley80,109140.5  +- 15079.4 ,16.7  +- 46.1 ,95.4  +- 6.8 ,102206.0  +- 24842.8 ,93.2  +- 21.3 ,78.0  +- 8.4 ,98.8  +- 1.7 ,98.0  +- 3.6 ,1304.8  +- 2823.2 ,99.0  +- 2.1 ,79.4  +- 20.8 ,98.6  +- 2.6 ,88807.1  +- 14587.5 ,28.7  +- 17.5 ,65.1  +- 11.2 ,81.5  +- 17.6 ,51.2  +- 24.7 ,89.5  +- 12.9 ,58.2  +- 22.7 ,98.1  +- 2.9 ,85.3  +- 20.3 ,69.0  +- 10.4 ,87.0  +- 7.9 ,41.4  +- 20.7 ,87.0  +- 7.9 ,81.3  +- 15.2 ,3145 +- 3032,4507 +- 6328
oakley80_max,700.0  +- 6415.6 ,1.2  +- 10.9 ,0.7  +- 6.7 ,700.0  +- 6415.6 ,1.1  +- 9.9 ,1.0  +- 9.2 ,1.0  +- 9.0 ,1.2  +- 10.9 ,89436.9  +- 17504.6 ,1.1  +- 9.8 ,1.1  +- 10.5 ,1.1  +- 9.9 ,675.0  +- 6186.5 ,99.7  +- 2.5 ,1.0  +- 8.7 ,0.7  +- 6.2 ,99.9  +- 0.6 ,1.2  +- 10.9 ,42.7  +- 15.5 ,1.0  +- 9.0 ,1.1  +- 10.2 ,43.3  +- 11.3 ,0.7  +- 6.2 ,59.5  +- 11.0 ,0.7  +- 6.2 ,28.5  +- 13.5 ,3983 +- 3427,6779 +- 4502
tl_oakley80_max,3983.3  +- 20864.6 ,1.2  +- 10.9 ,3.4  +- 17.7 ,3750.0  +- 19725.7 ,3.3  +- 17.1 ,2.7  +- 14.1 ,3.6  +- 18.7 ,3.6  +- 18.7 ,86696.4  +- 20937.8 ,3.6  +- 18.6 ,3.1  +- 16.4 ,3.4  +- 17.7 ,3415.5  +- 18112.0 ,96.9  +- 16.3 ,2.2  +- 11.5 ,3.1  +- 16.4 ,97.0  +- 16.0 ,3.4  +- 18.0 ,42.2  +- 15.2 ,3.4  +- 17.8 ,3.2  +- 16.6 ,43.6  +- 11.2 ,3.4  +- 17.6 ,57.9  +- 13.5 ,3.4  +- 17.6 ,30.2  +- 14.9 ,4015 +- 3415,6948 +- 4379
resc_tl_oakley80_max,3935.7  +- 20616.5 ,1.2  +- 10.9 ,3.4  +- 17.7 ,3702.4  +- 19477.0 ,3.2  +- 17.0 ,2.7  +- 14.2 ,3.6  +- 18.6 ,3.6  +- 18.7 ,86725.0  +- 20839.5 ,3.6  +- 18.6 ,3.1  +- 16.5 ,3.4  +- 17.6 ,3386.9  +- 17953.7 ,97.0  +- 15.9 ,2.2  +- 11.6 ,3.1  +- 16.2 ,97.1  +- 15.8 ,3.5  +- 18.1 ,42.2  +- 15.2 ,3.4  +- 17.7 ,3.2  +- 16.6 ,43.6  +- 11.3 ,3.3  +- 17.4 ,58.0  +- 13.3 ,3.3  +- 17.4 ,30.2  +- 14.9 ,4012 +- 3418,6954 +- 4379
ExtraTrees,78372.6  +- 15984.4 ,994.0  +- 607.1 ,76.6  +- 14.5 ,72215.5  +- 35438.5 ,75.1  +- 36.8 ,85.1  +- 8.6 ,84.5  +- 9.6 ,84.4  +- 13.0 ,16877.4  +- 13037.5 ,89.7  +- 10.6 ,85.3  +- 30.6 ,81.7  +- 13.5 ,73234.5  +- 15237.8 ,73.1  +- 16.9 ,82.3  +- 10.9 ,58.2  +- 28.0 ,88.6  +- 17.7 ,97.8  +- 5.4 ,73.2  +- 25.2 ,81.3  +- 12.1 ,76.3  +- 34.9 ,82.9  +- 9.1 ,62.7  +- 12.5 ,77.3  +- 13.6 ,62.7  +- 12.5 ,78.8  +- 25.5 ,1802 +- 2444,7426 +- 10942
tl_ExtraTrees,85709.5  +- 16366.2 ,248.8  +- 197.3 ,82.9  +- 13.5 ,65303.6  +- 41698.3 ,64.8  +- 42.9 ,83.7  +- 8.2 ,90.0  +- 8.6 ,91.7  +- 10.1 ,11541.7  +- 11093.3 ,92.5  +- 9.6 ,73.0  +- 39.0 ,87.5  +- 11.9 ,78570.2  +- 15458.1 ,62.7  +- 17.8 ,77.4  +- 9.9 ,52.4  +- 33.0 ,81.6  +- 22.7 ,94.7  +- 13.0 ,65.1  +- 26.8 ,87.3  +- 10.9 ,65.1  +- 40.8 ,80.3  +- 9.0 ,68.5  +- 12.3 ,71.3  +- 16.2 ,68.5  +- 12.3 ,70.3  +- 29.1 ,2432 +- 2817,10953 +- 12605
resc_ExtraTrees,58825.0  +- 18694.7 ,721.4  +- 420.6 ,59.5  +- 19.5 ,56033.3  +- 33129.6 ,62.1  +- 35.7 ,76.7  +- 15.8 ,65.6  +- 16.5 ,82.9  +- 16.3 ,33361.9  +- 20501.3 ,71.5  +- 19.8 ,96.4  +- 16.0 ,63.7  +- 20.7 ,56750.0  +- 19063.6 ,84.8  +- 14.3 ,87.2  +- 11.8 ,45.5  +- 27.0 ,96.8  +- 11.7 ,99.5  +- 1.5 ,67.7  +- 24.8 ,63.0  +- 18.6 ,68.7  +- 33.4 ,77.7  +- 12.3 ,47.3  +- 15.6 ,75.9  +- 13.6 ,47.3  +- 15.6 ,71.2  +- 26.3 ,2716 +- 2984,8434 +- 10049
resc_tl_ExtraTrees,70776.2  +- 18373.4 ,241.7  +- 194.6 ,70.5  +- 17.6 ,64619.0  +- 33429.0 ,69.3  +- 34.5 ,81.9  +- 11.9 ,77.7  +- 14.3 ,85.7  +- 16.2 ,22635.7  +- 17165.2 ,82.4  +- 15.9 ,91.6  +- 22.0 ,75.4  +- 18.0 ,67476.2  +- 18152.9 ,76.8  +- 17.3 ,83.8  +- 10.3 ,52.2  +- 26.5 ,92.7  +- 15.9 ,99.1  +- 2.1 ,69.8  +- 24.8 ,74.6  +- 16.7 ,73.8  +- 32.0 ,80.8  +- 10.5 ,56.8  +- 15.0 ,76.2  +- 15.1 ,56.8  +- 15.0 ,75.1  +- 25.1 ,2248 +- 2628,7692 +- 10369
tl_resc_ExtraTrees,90142.9  +- 16487.5 ,148.8  +- 155.6 ,85.8  +- 12.5 ,68840.5  +- 42021.4 ,66.9  +- 42.3 ,82.1  +- 8.3 ,91.8  +- 7.8 ,94.4  +- 7.9 ,9253.6  +- 9615.4 ,93.3  +- 8.9 ,72.2  +- 38.6 ,89.9  +- 10.5 ,80858.3  +- 15457.5 ,55.9  +- 17.6 ,74.2  +- 10.1 ,54.9  +- 32.7 ,78.0  +- 22.3 ,90.4  +- 17.6 ,64.3  +- 25.7 ,89.8  +- 9.6 ,66.5  +- 40.2 ,77.8  +- 9.1 ,72.0  +- 11.8 ,66.3  +- 16.8 ,72.0  +- 11.8 ,70.8  +- 28.5 ,2499 +- 2701,10368 +- 12049
ExtraTrees_max,1045.2  +- 9579.8 ,1.2  +- 10.9 ,1.2  +- 10.7 ,1045.2  +- 9579.8 ,1.2  +- 10.9 ,1.1  +- 10.5 ,1.2  +- 10.6 ,1.2  +- 10.9 ,89066.7  +- 18071.9 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1045.2  +- 9579.8 ,99.8  +- 1.4 ,1.1  +- 10.1 ,0.8  +- 7.4 ,100.0  +- 0.0 ,1.2  +- 10.9 ,42.9  +- 15.9 ,1.2  +- 10.6 ,1.2  +- 10.9 ,43.6  +- 11.9 ,0.8  +- 7.4 ,59.7  +- 11.4 ,0.8  +- 7.4 ,28.7  +- 14.0 ,3952 +- 3428,6795 +- 4539
tl_ExtraTrees_max,1551.2  +- 13017.6 ,1.2  +- 10.9 ,1.3  +- 10.8 ,1434.5  +- 11953.7 ,1.2  +- 10.1 ,1.4  +- 10.7 ,1.6  +- 11.4 ,2.4  +- 15.3 ,88582.1  +- 17711.9 ,1.3  +- 10.9 ,2.4  +- 15.3 ,1.3  +- 10.9 ,1529.8  +- 12822.1 ,98.8  +- 10.9 ,2.0  +- 13.2 ,1.2  +- 10.0 ,100.0  +- 0.0 ,2.2  +- 14.4 ,42.6  +- 14.0 ,1.4  +- 11.0 ,1.4  +- 10.7 ,44.0  +- 11.1 ,1.3  +- 10.8 ,59.1  +- 11.4 ,1.3  +- 10.8 ,29.0  +- 13.3 ,4027 +- 3403,7034 +- 4837
resc_tl_ExtraTrees_max,1503.6  +- 12743.2 ,1.2  +- 10.9 ,1.2  +- 10.6 ,1386.9  +- 11678.1 ,1.2  +- 9.9 ,1.4  +- 10.6 ,1.6  +- 11.2 ,2.4  +- 15.3 ,88629.8  +- 17567.7 ,1.3  +- 10.6 ,2.4  +- 15.3 ,1.3  +- 10.6 ,1482.1  +- 12547.5 ,98.8  +- 10.9 ,2.2  +- 14.1 ,1.1  +- 9.7 ,100.0  +- 0.0 ,2.4  +- 15.3 ,42.6  +- 14.1 ,1.3  +- 10.7 ,1.3  +- 10.5 ,44.0  +- 11.0 ,1.2  +- 10.6 ,59.2  +- 11.5 ,1.2  +- 10.6 ,29.0  +- 13.2 ,4036 +- 3394,7040 +- 4859
SGD_perceptron,78914.3  +- 19134.6 ,879.8  +- 743.3 ,76.7  +- 17.3 ,76525.0  +- 33862.9 ,78.9  +- 34.5 ,83.1  +- 10.8 ,84.3  +- 14.7 ,84.8  +- 13.0 ,17013.1  +- 16914.6 ,88.4  +- 14.8 ,86.5  +- 27.5 ,81.8  +- 17.0 ,73098.8  +- 17493.4 ,70.0  +- 18.5 ,80.7  +- 11.1 ,61.2  +- 26.1 ,86.3  +- 18.8 ,98.2  +- 3.4 ,73.8  +- 25.3 ,81.5  +- 16.0 ,79.3  +- 32.4 ,80.7  +- 10.3 ,63.1  +- 14.9 ,74.3  +- 14.9 ,63.1  +- 14.9 ,80.3  +- 25.0 ,1984 +- 2747,6354 +- 10232
tl_SGD_perceptron,85207.1  +- 18397.3 ,234.5  +- 223.1 ,81.9  +- 15.6 ,64319.0  +- 41564.3 ,65.0  +- 43.0 ,82.2  +- 10.0 ,88.6  +- 12.5 ,92.7  +- 9.4 ,12526.2  +- 14353.0 ,90.8  +- 12.7 ,75.3  +- 37.5 ,86.7  +- 14.7 ,77585.7  +- 16545.3 ,61.5  +- 19.0 ,76.6  +- 10.8 ,51.4  +- 32.9 ,82.0  +- 22.4 ,95.1  +- 12.7 ,65.5  +- 27.1 ,86.5  +- 13.9 ,65.3  +- 40.8 ,78.6  +- 10.2 ,68.1  +- 13.9 ,69.2  +- 17.0 ,68.1  +- 13.9 ,69.8  +- 30.5 ,2274 +- 2916,10947 +- 12936
resc_SGD_perceptron,60932.1  +- 22378.0 ,551.2  +- 363.5 ,61.0  +- 22.6 ,53154.8  +- 34655.4 ,58.7  +- 38.0 ,76.0  +- 17.9 ,67.6  +- 21.2 ,85.2  +- 15.6 ,31646.4  +- 24412.9 ,72.7  +- 23.3 ,91.7  +- 24.2 ,65.9  +- 23.9 ,58465.5  +- 22105.2 ,82.3  +- 16.4 ,85.8  +- 12.2 ,43.5  +- 28.5 ,95.7  +- 12.7 ,99.6  +- 1.0 ,65.9  +- 25.3 ,64.9  +- 22.2 ,64.3  +- 36.5 ,77.3  +- 13.5 ,48.9  +- 18.4 ,75.2  +- 14.3 ,48.9  +- 18.4 ,68.3  +- 27.7 ,2870 +- 3678,9791 +- 10753
resc_tl_SGD_perceptron,71083.3  +- 20688.1 ,204.8  +- 204.7 ,70.4  +- 20.0 ,61367.9  +- 33324.4 ,66.3  +- 36.1 ,79.7  +- 14.4 ,77.4  +- 17.9 ,88.3  +- 14.3 ,23098.8  +- 20874.7 ,81.1  +- 19.5 ,89.5  +- 26.0 ,75.3  +- 20.7 ,67013.1  +- 19753.6 ,74.5  +- 18.3 ,81.9  +- 11.5 ,49.7  +- 27.1 ,92.9  +- 13.7 ,99.2  +- 2.0 ,68.8  +- 25.3 ,74.8  +- 19.4 ,70.8  +- 34.2 ,78.7  +- 12.2 ,56.9  +- 16.8 ,73.9  +- 16.2 ,56.9  +- 16.8 ,72.6  +- 27.2 ,2568 +- 3003,8485 +- 11075
tl_resc_SGD_perceptron,89451.2  +- 18232.8 ,140.5  +- 164.4 ,84.8  +- 14.4 ,67161.9  +- 41369.3 ,66.6  +- 42.0 ,81.0  +- 9.6 ,90.5  +- 11.4 ,95.6  +- 6.0 ,10335.7  +- 12561.8 ,91.8  +- 11.6 ,74.8  +- 37.3 ,88.9  +- 13.0 ,79776.2  +- 16386.7 ,55.2  +- 18.8 ,73.7  +- 10.6 ,53.7  +- 32.5 ,78.7  +- 22.4 ,90.1  +- 17.5 ,63.9  +- 26.0 ,88.9  +- 12.6 ,66.5  +- 39.8 ,76.5  +- 10.1 ,71.4  +- 13.3 ,64.7  +- 17.4 ,71.4  +- 13.3 ,70.1  +- 29.2 ,2376 +- 2821,10530 +- 12251
SGD_perceptron_max,1213.1  +- 11118.2 ,0.0  +- 0.0 ,1.1  +- 9.8 ,1213.1  +- 11118.2 ,1.2  +- 10.9 ,1.1  +- 9.8 ,1.2  +- 10.8 ,1.2  +- 10.9 ,88909.5  +- 18016.6 ,1.2  +- 10.9 ,1.2  +- 10.8 ,1.2  +- 10.9 ,1202.4  +- 11020.0 ,99.6  +- 3.4 ,1.0  +- 8.9 ,0.8  +- 7.7 ,100.0  +- 0.2 ,1.2  +- 10.9 ,42.9  +- 15.8 ,1.2  +- 10.8 ,1.2  +- 10.9 ,43.4  +- 11.5 ,0.8  +- 7.7 ,59.5  +- 11.0 ,0.8  +- 7.7 ,28.7  +- 14.0 ,3985 +- 3433,6765 +- 4525
tl_SGD_perceptron_max,1557.1  +- 13022.3 ,1.2  +- 10.9 ,1.3  +- 10.8 ,1440.5  +- 11958.8 ,1.2  +- 10.2 ,1.4  +- 10.7 ,1.6  +- 11.4 ,2.4  +- 15.3 ,88576.2  +- 17713.0 ,1.3  +- 10.9 ,2.4  +- 15.3 ,1.3  +- 10.9 ,1535.7  +- 12826.9 ,98.8  +- 10.9 ,2.0  +- 13.1 ,1.2  +- 10.0 ,100.0  +- 0.0 ,2.2  +- 14.3 ,42.6  +- 14.0 ,1.4  +- 11.0 ,1.4  +- 10.7 ,44.0  +- 11.1 ,1.3  +- 10.8 ,59.1  +- 11.4 ,1.3  +- 10.8 ,29.0  +- 13.3 ,4027 +- 3403,7032 +- 4830
resc_tl_SGD_perceptron_max,1509.5  +- 12747.3 ,1.2  +- 10.9 ,1.2  +- 10.6 ,1392.9  +- 11682.6 ,1.2  +- 9.9 ,1.4  +- 10.6 ,1.6  +- 11.2 ,2.4  +- 15.3 ,88623.8  +- 17568.3 ,1.3  +- 10.6 ,2.4  +- 15.3 ,1.3  +- 10.6 ,1488.1  +- 12551.7 ,98.8  +- 10.9 ,2.1  +- 13.7 ,1.1  +- 9.7 ,100.0  +- 0.0 ,2.4  +- 15.3 ,42.6  +- 14.1 ,1.3  +- 10.7 ,1.4  +- 10.5 ,44.0  +- 11.0 ,1.2  +- 10.6 ,59.1  +- 11.5 ,1.2  +- 10.6 ,29.0  +- 13.2 ,4036 +- 3394,7038 +- 4852
SGD_log,78669.0  +- 17039.3 ,1250.0  +- 915.5 ,76.8  +- 15.3 ,73581.0  +- 33704.6 ,77.0  +- 34.9 ,85.0  +- 9.0 ,84.7  +- 11.1 ,85.8  +- 11.6 ,16701.2  +- 14205.1 ,89.8  +- 11.7 ,87.7  +- 27.6 ,82.0  +- 14.6 ,73410.7  +- 15936.6 ,72.7  +- 16.8 ,82.1  +- 10.7 ,59.1  +- 26.5 ,89.2  +- 17.3 ,98.7  +- 2.2 ,74.1  +- 25.0 ,81.6  +- 13.1 ,78.4  +- 32.8 ,82.7  +- 9.2 ,63.0  +- 13.4 ,77.1  +- 13.1 ,63.0  +- 13.4 ,79.9  +- 24.7 ,1811 +- 2584,6752 +- 10432
tl_SGD_log,85498.8  +- 17428.9 ,211.9  +- 183.3 ,82.7  +- 14.3 ,68269.0  +- 40274.7 ,68.9  +- 41.4 ,83.6  +- 8.6 ,89.9  +- 10.0 ,92.3  +- 8.9 ,11763.1  +- 12320.5 ,92.4  +- 10.5 ,76.6  +- 36.7 ,87.4  +- 13.0 ,78348.8  +- 15787.8 ,62.9  +- 18.4 ,77.6  +- 10.2 ,54.4  +- 31.7 ,81.5  +- 22.8 ,95.7  +- 12.1 ,66.7  +- 27.5 ,87.4  +- 11.8 ,69.0  +- 39.3 ,80.2  +- 9.3 ,68.3  +- 13.1 ,71.2  +- 16.5 ,68.3  +- 13.1 ,72.5  +- 29.2 ,2315 +- 2904,9839 +- 12431
resc_SGD_log,60690.5  +- 19592.3 ,777.4  +- 497.8 ,61.2  +- 20.1 ,54786.9  +- 33628.9 ,60.4  +- 36.2 ,77.8  +- 15.1 ,67.6  +- 17.2 ,84.5  +- 15.2 ,31664.3  +- 21286.5 ,73.3  +- 19.6 ,94.6  +- 19.6 ,65.6  +- 21.2 ,58447.6  +- 19580.8 ,83.8  +- 14.7 ,87.0  +- 10.8 ,44.6  +- 27.5 ,96.0  +- 12.7 ,99.7  +- 0.8 ,66.6  +- 24.5 ,64.8  +- 19.2 ,66.7  +- 34.3 ,78.6  +- 11.8 ,48.8  +- 16.4 ,76.3  +- 13.1 ,48.8  +- 16.4 ,69.6  +- 27.0 ,2667 +- 2816,9240 +- 10528
resc_tl_SGD_log,72356.0  +- 18778.7 ,210.7  +- 186.3 ,71.8  +- 18.0 ,60476.2  +- 33980.5 ,65.8  +- 36.5 ,81.9  +- 12.0 ,79.1  +- 14.6 ,89.8  +- 13.7 ,21445.2  +- 17436.5 ,83.4  +- 16.0 ,90.7  +- 24.2 ,76.8  +- 18.1 ,68666.7  +- 18003.8 ,75.4  +- 18.1 ,83.1  +- 10.8 ,49.1  +- 27.6 ,93.3  +- 15.3 ,99.4  +- 1.8 ,68.6  +- 25.5 ,76.2  +- 16.7 ,70.4  +- 34.3 ,80.6  +- 10.4 ,58.0  +- 15.4 ,75.5  +- 15.2 ,58.0  +- 15.4 ,72.3  +- 27.5 ,2321 +- 2758,8839 +- 11471
tl_resc_SGD_log,89292.9  +- 17416.2 ,151.2  +- 161.7 ,85.1  +- 13.3 ,68929.8  +- 40509.4 ,68.4  +- 41.3 ,82.0  +- 8.6 ,91.2  +- 9.2 ,95.0  +- 6.6 ,10028.6  +- 10996.0 ,92.7  +- 9.8 ,74.9  +- 37.2 ,89.2  +- 11.7 ,80083.3  +- 15648.6 ,56.5  +- 18.2 ,74.5  +- 10.2 ,55.0  +- 31.7 ,78.9  +- 22.1 ,91.5  +- 17.4 ,65.0  +- 26.4 ,89.4  +- 10.6 ,68.3  +- 39.2 ,77.7  +- 9.4 ,71.3  +- 12.6 ,66.3  +- 17.0 ,71.3  +- 12.6 ,71.5  +- 28.9 ,2418 +- 2812,10010 +- 12120
SGD_log_max,1104.8  +- 10125.3 ,0.0  +- 0.0 ,1.2  +- 10.6 ,1104.8  +- 10125.3 ,1.2  +- 10.9 ,1.1  +- 10.2 ,1.2  +- 10.7 ,1.2  +- 10.9 ,89008.3  +- 18067.6 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1.2  +- 10.9 ,1103.6  +- 10114.4 ,99.5  +- 4.1 ,1.0  +- 9.5 ,1.0  +- 9.1 ,100.0  +- 0.1 ,1.2  +- 10.9 ,43.1  +- 15.8 ,1.2  +- 10.7 ,1.2  +- 10.9 ,43.6  +- 11.5 ,1.0  +- 9.1 ,59.7  +- 10.8 ,1.0  +- 9.1 ,28.8  +- 13.9 ,4024 +- 3406,6807 +- 4537
tl_SGD_log_max,1548.8  +- 13015.8 ,1.2  +- 10.9 ,1.3  +- 10.8 ,1432.1  +- 11951.7 ,1.2  +- 10.1 ,1.4  +- 10.7 ,1.6  +- 11.4 ,2.4  +- 15.3 ,88584.5  +- 17711.5 ,1.3  +- 10.9 ,2.4  +- 15.3 ,1.3  +- 10.9 ,1527.4  +- 12820.3 ,98.8  +- 10.9 ,2.1  +- 13.3 ,1.2  +- 10.0 ,100.0  +- 0.0 ,2.3  +- 14.5 ,42.6  +- 14.0 ,1.4  +- 11.0 ,1.4  +- 10.7 ,44.0  +- 11.1 ,1.3  +- 10.8 ,59.1  +- 11.4 ,1.3  +- 10.8 ,29.0  +- 13.3 ,4027 +- 3403,7035 +- 4839
resc_tl_SGD_log_max,1501.2  +- 12741.7 ,1.2  +- 10.9 ,1.2  +- 10.6 ,1384.5  +- 11676.4 ,1.2  +- 9.9 ,1.4  +- 10.6 ,1.5  +- 11.1 ,2.4  +- 15.3 ,88632.1  +- 17567.5 ,1.3  +- 10.6 ,2.4  +- 15.3 ,1.3  +- 10.6 ,1479.8  +- 12546.0 ,98.8  +- 10.9 ,2.2  +- 14.2 ,1.1  +- 9.7 ,100.0  +- 0.0 ,2.4  +- 15.3 ,42.6  +- 14.1 ,1.3  +- 10.7 ,1.3  +- 10.5 ,44.0  +- 11.0 ,1.2  +- 10.6 ,59.2  +- 11.5 ,1.2  +- 10.6 ,29.0  +- 13.2 ,4036 +- 3394,7040 +- 4862
SGD_hinge,78572.6  +- 16869.7 ,1025.0  +- 651.0 ,76.7  +- 15.0 ,75186.9  +- 33956.3 ,77.9  +- 34.3 ,85.1  +- 8.7 ,84.6  +- 10.5 ,85.0  +- 11.8 ,16803.6  +- 13576.8 ,89.9  +- 11.2 ,86.9  +- 27.5 ,81.8  +- 14.1 ,73308.3  +- 15789.6 ,72.9  +- 17.1 ,82.3  +- 10.8 ,60.3  +- 26.5 ,86.8  +- 18.9 ,98.6  +- 2.2 ,73.1  +- 24.9 ,81.4  +- 12.7 ,78.9  +- 32.3 ,82.9  +- 9.2 ,62.9  +- 13.2 ,77.2  +- 13.3 ,62.9  +- 13.2 ,80.0  +- 24.3 ,1945 +- 2503,6512 +- 10221
tl_SGD_hinge,85529.8  +- 17501.0 ,241.7  +- 192.1 ,82.6  +- 14.1 ,65178.6  +- 40923.6 ,65.5  +- 42.2 ,83.5  +- 8.5 ,89.7  +- 9.5 ,92.2  +- 8.6 ,11870.2  +- 11731.7 ,92.2  +- 10.2 ,76.3  +- 36.6 ,87.2  +- 12.5 ,78241.7  +- 15732.4 ,62.7  +- 18.6 ,77.5  +- 10.2 ,52.2  +- 32.3 ,80.9  +- 23.0 ,95.2  +- 12.3 ,64.9  +- 27.1 ,87.1  +- 11.6 ,66.0  +- 39.9 ,80.0  +- 9.3 ,68.4  +- 13.1 ,70.9  +- 16.6 ,68.4  +- 13.1 ,70.0  +- 29.5 ,2233 +- 2792,10932 +- 12458
resc_SGD_hinge,60232.1  +- 19258.8 ,709.5  +- 375.7 ,60.7  +- 19.7 ,55029.8  +- 33022.9 ,61.1  +- 35.7 ,77.6  +- 14.7 ,67.0  +- 16.6 ,83.4  +- 16.4 ,32082.1  +- 20397.7 ,72.9  +- 19.1 ,94.5  +- 19.5 ,65.1  +- 20.5 ,58029.8  +- 19201.7 ,84.0  +- 14.7 ,87.2  +- 10.9 ,44.8  +- 27.0 ,96.0  +- 12.7 ,99.7  +- 0.8 ,66.3  +- 24.6 ,64.3  +- 18.6 ,67.5  +- 33.7 ,78.3  +- 11.6 ,48.4  +- 16.0 ,76.1  +- 12.9 ,48.4  +- 16.0 ,69.9  +- 26.6 ,2575 +- 2851,9228 +- 10555
resc_tl_SGD_hinge,71127.4  +- 19174.7 ,235.7  +- 174.7 ,70.7  +- 18.0 ,61056.0  +- 34098.8 ,66.0  +- 36.3 ,81.6  +- 11.9 ,78.0  +- 14.4 ,87.7  +- 14.1 ,22644.0  +- 17382.5 ,82.3  +- 15.9 ,89.3  +- 26.1 ,75.3  +- 18.0 ,67467.9  +- 18393.9 ,76.2  +- 18.3 ,83.5  +- 10.7 ,49.6  +- 27.5 ,92.5  +- 15.7 ,99.5  +- 1.0 ,67.8  +- 25.4 ,74.8  +- 16.8 ,70.4  +- 34.5 ,80.4  +- 10.4 ,57.0  +- 15.6 ,75.5  +- 15.4 ,57.0  +- 15.6 ,72.4  +- 26.9 ,2344 +- 2789,8843 +- 11493
tl_resc_SGD_hinge,89866.7  +- 17502.1 ,150.0  +- 157.2 ,85.5  +- 13.0 ,70545.2  +- 41019.9 ,69.4  +- 40.9 ,82.1  +- 8.4 ,91.5  +- 8.6 ,94.9  +- 6.5 ,9577.4  +- 10130.7 ,93.0  +- 9.4 ,76.8  +- 35.3 ,89.6  +- 10.9 ,80534.5  +- 15520.8 ,56.1  +- 18.5 ,74.4  +- 10.3 ,56.2  +- 31.9 ,77.6  +- 23.2 ,90.9  +- 17.5 ,64.7  +- 25.8 ,89.6  +- 10.3 ,69.0  +- 38.7 ,77.7  +- 9.3 ,71.8  +- 12.6 ,66.1  +- 17.1 ,71.8  +- 12.6 ,72.1  +- 28.0 ,2319 +- 2679,9706 +- 11662
