,TotalSleepInCol,WokeCounts,SEMarkers,TotalSleepInColBlock,RecallBlock,F1,SEOnlyREST,SESelfBlock,WASO,Recall,PrecisionBlock,SEGTBlock,TotalSleepTime,Specificity,Precision,PercentSleepBlock,SpecificityBlock,SESelfBlock5Min,~F1Block,SEInterval,F1Block,Accuracy,SEWholeDF,~F1,PercentSleep,AccuracyBlock,DeltaStartBlock,DeltaEndBlock
tl_webster,110054.8  +- 15576.7 ,28.6  +- 61.3 ,95.9  +- 6.4 ,105144.0  +- 24969.1 ,93.9  +- 20.1 ,78.1  +- 8.3 ,99.1  +- 1.2 ,96.4  +- 4.6 ,1122.6  +- 2881.0 ,99.6  +- 1.1 ,78.7  +- 19.0 ,98.9  +- 2.6 ,88989.3  +- 14390.8 ,27.9  +- 16.9 ,65.0  +- 11.0 ,83.5  +- 17.1 ,44.9  +- 26.6 ,89.6  +- 12.0 ,52.6  +- 25.4 ,98.2  +- 2.9 ,84.8  +- 18.6 ,69.0  +- 10.3 ,87.7  +- 7.7 ,40.7  +- 20.8 ,87.7  +- 7.7 ,79.5  +- 15.4 ,3665 +- 3390,4331 +- 5620
resc_webster,88167.9  +- 14490.3 ,703.6  +- 484.3 ,82.7  +- 10.3 ,86863.1  +- 31033.9 ,85.5  +- 30.0 ,83.5  +- 7.7 ,89.1  +- 6.4 ,89.6  +- 7.2 ,10610.7  +- 8215.7 ,93.6  +- 5.3 ,84.3  +- 25.5 ,88.5  +- 8.2 ,79501.2  +- 14098.0 ,60.9  +- 16.7 ,76.2  +- 11.5 ,69.2  +- 23.4 ,76.6  +- 24.7 ,95.7  +- 8.2 ,71.3  +- 24.6 ,87.1  +- 7.9 ,82.9  +- 28.3 ,79.5  +- 8.8 ,70.3  +- 9.6 ,70.3  +- 14.2 ,70.3  +- 9.6 ,82.4  +- 21.3 ,2498 +- 2809,4780 +- 8575
resc_tl_webster,102006.0  +- 16085.4 ,35.7  +- 73.9 ,92.9  +- 8.5 ,96582.1  +- 28245.7 ,90.8  +- 24.0 ,80.7  +- 8.3 ,97.4  +- 3.1 ,95.9  +- 7.0 ,2934.5  +- 5074.1 ,98.2  +- 3.2 ,82.1  +- 21.5 ,96.9  +- 5.0 ,87177.4  +- 14535.1 ,41.1  +- 20.0 ,69.3  +- 11.6 ,76.9  +- 20.1 ,60.0  +- 29.6 ,94.0  +- 6.1 ,63.0  +- 27.2 ,96.2  +- 4.7 ,85.0  +- 22.2 ,73.8  +- 10.4 ,81.2  +- 9.4 ,54.3  +- 21.1 ,81.2  +- 9.4 ,82.1  +- 17.2 ,3148 +- 3090,4237 +- 7217
tl_resc_webster,112333.3  +- 15338.0 ,16.7  +- 51.1 ,96.4  +- 5.7 ,108028.6  +- 20820.1 ,95.7  +- 15.5 ,76.9  +- 8.2 ,99.0  +- 1.5 ,97.0  +- 4.2 ,1015.5  +- 2511.6 ,99.3  +- 1.3 ,78.9  +- 16.7 ,98.9  +- 2.3 ,89096.4  +- 14612.4 ,23.2  +- 15.4 ,63.4  +- 10.7 ,86.0  +- 12.9 ,41.7  +- 24.4 ,89.0  +- 12.0 ,50.5  +- 23.5 ,98.3  +- 2.7 ,85.9  +- 15.2 ,66.9  +- 10.0 ,89.5  +- 7.1 ,34.9  +- 19.8 ,89.5  +- 7.1 ,80.1  +- 12.5 ,3608 +- 3313,4184 +- 4465
webster_max,1115.5  +- 10223.5 ,0.0  +- 0.0 ,1.2  +- 10.7 ,1115.5  +- 10223.5 ,1.2  +- 10.9 ,1.1  +- 10.5 ,1.2  +- 10.8 ,1.2  +- 10.9 ,89006.0  +- 18054.7 ,1.2  +- 10.9 ,1.2  +- 10.8 ,1.2  +- 10.9 ,1106.0  +- 10136.2 ,99.8  +- 1.6 ,1.1  +- 10.1 ,0.8  +- 7.5 ,100.0  +- 0.2 ,1.2  +- 10.9 ,42.9  +- 15.8 ,1.2  +- 10.8 ,1.2  +- 10.8 ,43.6  +- 11.9 ,0.8  +- 7.5 ,59.7  +- 11.3 ,0.8  +- 7.5 ,28.7  +- 14.0 ,3969 +- 3433,6752 +- 4516
tl_webster_max,2831.0  +- 18289.2 ,0.0  +- 0.0 ,2.4  +- 15.3 ,2645.2  +- 17124.9 ,2.2  +- 14.4 ,1.8  +- 11.7 ,2.4  +- 15.4 ,2.4  +- 15.3 ,87713.1  +- 20402.3 ,2.4  +- 15.3 ,2.0  +- 13.0 ,2.4  +- 15.3 ,2398.8  +- 15484.5 ,98.0  +- 12.9 ,1.5  +- 9.7 ,2.1  +- 13.5 ,98.4  +- 10.2 ,2.3  +- 14.8 ,42.5  +- 14.5 ,2.4  +- 15.4 ,2.1  +- 13.7 ,43.4  +- 11.0 ,2.2  +- 14.5 ,58.5  +- 12.0 ,2.2  +- 14.5 ,29.3  +- 14.2 ,3988 +- 3384,6894 +- 4452
resc_tl_webster_max,2783.3  +- 17988.3 ,0.0  +- 0.0 ,2.4  +- 15.3 ,2616.7  +- 16961.5 ,2.2  +- 14.4 ,1.8  +- 11.8 ,2.4  +- 15.4 ,2.4  +- 15.3 ,87713.1  +- 20402.3 ,2.4  +- 15.3 ,2.0  +- 13.2 ,2.4  +- 15.3 ,2398.8  +- 15484.5 ,98.1  +- 12.3 ,1.5  +- 9.9 ,2.1  +- 13.4 ,98.5  +- 9.6 ,2.3  +- 14.8 ,42.6  +- 14.6 ,2.4  +- 15.4 ,2.1  +- 13.7 ,43.4  +- 11.1 ,2.2  +- 14.2 ,58.6  +- 11.7 ,2.2  +- 14.2 ,29.3  +- 14.2 ,3979 +- 3383,6894 +- 4452
oakley10,80770.2  +- 14070.1 ,4356.0  +- 2089.7 ,76.5  +- 11.0 ,92234.5  +- 23359.1 ,92.4  +- 17.8 ,82.2  +- 7.9 ,83.2  +- 6.9 ,79.0  +- 10.5 ,17453.6  +- 10384.2 ,88.1  +- 8.2 ,89.5  +- 17.5 ,81.1  +- 10.0 ,72658.3  +- 12823.1 ,66.7  +- 16.2 ,78.1  +- 11.1 ,73.5  +- 16.0 ,79.4  +- 23.9 ,95.9  +- 4.9 ,76.0  +- 22.0 ,80.7  +- 8.8 ,90.0  +- 17.0 ,79.0  +- 8.6 ,64.6  +- 10.3 ,71.7  +- 13.8 ,64.6  +- 10.3 ,88.1  +- 12.7 ,1690 +- 2333,3090 +- 4929
tl_oakley10,94836.9  +- 16222.7 ,72.6  +- 89.6 ,89.6  +- 10.2 ,76428.6  +- 40652.5 ,74.0  +- 40.5 ,83.1  +- 8.0 ,95.9  +- 4.1 ,97.0  +- 4.6 ,5309.5  +- 6682.3 ,97.0  +- 5.0 ,73.8  +- 36.9 ,94.3  +- 7.1 ,84802.4  +- 14342.2 ,52.2  +- 19.8 ,73.5  +- 11.1 ,61.0  +- 31.6 ,75.0  +- 23.9 ,89.9  +- 16.5 ,66.5  +- 25.7 ,94.2  +- 6.1 ,72.0  +- 38.4 ,78.1  +- 10.0 ,75.7  +- 11.0 ,64.5  +- 19.3 ,75.7  +- 11.0 ,75.2  +- 27.1 ,2304 +- 2739,8660 +- 11405
resc_oakley10,61688.1  +- 16588.1 ,3166.7  +- 1406.5 ,61.5  +- 15.9 ,61597.6  +- 33362.5 ,67.4  +- 35.0 ,79.0  +- 11.8 ,67.9  +- 13.0 ,77.7  +- 15.1 ,31136.9  +- 16901.9 ,74.5  +- 15.2 ,95.2  +- 16.7 ,66.1  +- 16.6 ,58975.0  +- 16036.8 ,83.7  +- 14.5 ,86.9  +- 11.0 ,49.8  +- 26.8 ,94.2  +- 15.7 ,99.3  +- 2.1 ,68.9  +- 25.6 ,65.3  +- 14.9 ,72.5  +- 32.5 ,78.8  +- 10.1 ,49.5  +- 13.6 ,76.1  +- 12.8 ,49.5  +- 13.6 ,73.7  +- 26.4 ,2123 +- 2180,8043 +- 10236
resc_tl_oakley10,86697.6  +- 16686.5 ,70.2  +- 91.5 ,84.4  +- 12.3 ,64773.8  +- 36751.9 ,67.5  +- 38.8 ,84.1  +- 8.8 ,91.2  +- 7.4 ,97.2  +- 7.0 ,9747.6  +- 9443.9 ,93.2  +- 7.9 ,81.3  +- 34.3 ,89.4  +- 10.0 ,80364.3  +- 15077.3 ,62.7  +- 20.2 ,77.5  +- 11.7 ,52.6  +- 29.5 ,86.6  +- 20.2 ,97.6  +- 5.3 ,67.9  +- 25.7 ,89.3  +- 9.1 ,69.8  +- 37.1 ,80.4  +- 10.1 ,69.2  +- 12.2 ,71.1  +- 18.3 ,69.2  +- 12.2 ,72.6  +- 28.1 ,2058 +- 2227,9473 +- 11789
tl_resc_oakley10,97029.8  +- 16212.4 ,50.0  +- 75.3 ,90.3  +- 9.5 ,82126.2  +- 37748.2 ,78.7  +- 37.2 ,81.6  +- 8.1 ,95.8  +- 4.0 ,97.0  +- 4.5 ,5059.5  +- 6120.4 ,96.4  +- 4.8 ,74.9  +- 34.7 ,94.6  +- 6.5 ,85052.4  +- 14560.0 ,47.4  +- 19.6 ,71.4  +- 11.0 ,65.8  +- 29.4 ,71.1  +- 24.7 ,86.9  +- 20.5 ,65.9  +- 24.9 ,94.4  +- 5.5 ,75.8  +- 35.7 ,75.8  +- 10.2 ,77.4  +- 10.8 ,59.9  +- 19.8 ,77.4  +- 10.8 ,77.9  +- 24.2 ,2341 +- 2630,7470 +- 10298
oakley10_max,356.0  +- 3262.4 ,1.2  +- 10.9 ,0.4  +- 3.4 ,356.0  +- 3262.4 ,0.5  +- 5.0 ,0.7  +- 6.0 ,0.5  +- 4.6 ,1.2  +- 10.9 ,89770.2  +- 16099.1 ,0.5  +- 4.7 ,1.1  +- 10.5 ,0.5  +- 5.0 ,341.7  +- 3131.4 ,99.8  +- 1.5 ,0.9  +- 8.3 ,0.3  +- 3.2 ,100.0  +- 0.3 ,1.2  +- 10.9 ,42.4  +- 14.8 ,0.5  +- 4.6 ,0.7  +- 6.8 ,43.1  +- 10.7 ,0.3  +- 3.2 ,59.3  +- 10.8 ,0.3  +- 3.2 ,28.2  +- 12.3 ,3980 +- 3430,6879 +- 4480
tl_oakley10_max,1697.6  +- 11065.5 ,1.2  +- 10.9 ,1.5  +- 9.8 ,1581.0  +- 10226.3 ,1.7  +- 11.1 ,2.0  +- 12.8 ,1.9  +- 12.6 ,2.4  +- 15.3 ,88425.0  +- 18237.8 ,1.9  +- 12.6 ,2.4  +- 15.3 ,1.8  +- 12.3 ,1686.9  +- 10986.7 ,99.6  +- 2.8 ,2.1  +- 13.4 ,1.3  +- 8.6 ,100.0  +- 0.3 ,2.3  +- 14.7 ,43.0  +- 15.2 ,1.8  +- 12.1 ,1.9  +- 12.6 ,44.0  +- 12.1 ,1.4  +- 9.5 ,59.9  +- 11.2 ,1.4  +- 9.5 ,29.1  +- 13.9 ,3932 +- 3404,6997 +- 4545
resc_tl_oakley10_max,1650.0  +- 10752.9 ,1.2  +- 10.9 ,1.4  +- 9.5 ,1533.3  +- 9915.3 ,1.6  +- 10.9 ,2.0  +- 12.8 ,1.9  +- 12.4 ,2.4  +- 15.3 ,88463.1  +- 18109.3 ,1.9  +- 12.4 ,2.4  +- 15.3 ,1.8  +- 12.0 ,1648.8  +- 10744.1 ,99.6  +- 2.4 ,2.1  +- 13.6 ,1.3  +- 8.4 ,100.0  +- 0.0 ,2.3  +- 15.0 ,43.0  +- 15.2 ,1.8  +- 11.7 ,1.9  +- 12.4 ,44.0  +- 12.1 ,1.4  +- 9.2 ,59.9  +- 11.2 ,1.4  +- 9.2 ,29.1  +- 13.8 ,3935 +- 3401,7002 +- 4557
oakley40,93439.3  +- 14225.1 ,3446.4  +- 1896.3 ,85.7  +- 8.4 ,101811.9  +- 20655.7 ,96.4  +- 11.4 ,82.0  +- 7.8 ,91.5  +- 3.8 ,85.1  +- 7.8 ,9327.4  +- 6525.5 ,95.0  +- 4.2 ,85.5  +- 15.9 ,90.0  +- 6.3 ,80784.5  +- 13034.6 ,53.0  +- 16.4 ,72.9  +- 11.3 ,80.8  +- 12.0 ,64.2  +- 28.7 ,93.3  +- 7.4 ,67.3  +- 24.7 ,89.5  +- 5.7 ,90.0  +- 12.6 ,76.9  +- 9.0 ,74.5  +- 8.6 ,64.6  +- 15.0 ,74.5  +- 8.6 ,85.9  +- 12.6 ,2031 +- 2829,3525 +- 4095
tl_oakley40,102878.6  +- 15857.8 ,35.7  +- 63.3 ,93.4  +- 8.5 ,93446.4  +- 32000.3 ,87.9  +- 29.2 ,80.9  +- 8.4 ,98.4  +- 1.8 ,96.9  +- 5.0 ,2220.2  +- 4274.2 ,98.9  +- 2.4 ,79.3  +- 26.1 ,97.7  +- 4.2 ,87891.7  +- 14219.2 ,40.7  +- 19.0 ,69.2  +- 11.6 ,74.3  +- 23.7 ,62.1  +- 26.5 ,90.0  +- 16.4 ,64.1  +- 25.1 ,97.2  +- 3.7 ,82.3  +- 27.0 ,73.9  +- 10.7 ,82.0  +- 9.1 ,54.6  +- 20.6 ,82.0  +- 9.1 ,80.5  +- 20.1 ,2805 +- 3040,5327 +- 8388
resc_oakley40,79319.0  +- 14570.6 ,2957.1  +- 1525.0 ,76.4  +- 11.2 ,79616.7  +- 31332.0 ,81.6  +- 30.8 ,84.1  +- 7.7 ,83.4  +- 7.2 ,84.8  +- 9.0 ,16519.0  +- 10225.5 ,89.1  +- 7.3 ,88.3  +- 24.1 ,82.0  +- 10.1 ,73592.9  +- 13872.7 ,71.1  +- 16.6 ,80.7  +- 11.4 ,63.6  +- 23.7 ,85.7  +- 20.8 ,98.0  +- 3.0 ,74.0  +- 24.4 ,80.8  +- 9.0 ,81.9  +- 28.9 ,81.4  +- 8.6 ,63.4  +- 10.5 ,75.2  +- 13.5 ,63.4  +- 10.5 ,82.1  +- 21.7 ,1837 +- 2320,5522 +- 8892
resc_tl_oakley40,95703.6  +- 16391.9 ,38.1  +- 67.5 ,90.1  +- 10.3 ,84107.1  +- 33554.2 ,82.5  +- 33.1 ,82.7  +- 8.4 ,95.9  +- 3.9 ,97.1  +- 6.2 ,4813.1  +- 6350.4 ,96.9  +- 4.2 ,82.4  +- 28.2 ,94.8  +- 6.4 ,85298.8  +- 14652.9 ,51.4  +- 20.7 ,73.0  +- 12.1 ,67.2  +- 25.9 ,74.0  +- 25.7 ,95.1  +- 8.5 ,69.3  +- 25.9 ,94.4  +- 5.7 ,80.3  +- 30.8 ,77.4  +- 10.6 ,76.3  +- 10.4 ,63.4  +- 20.0 ,76.3  +- 10.4 ,80.6  +- 22.7 ,2396 +- 2476,5807 +- 9497
tl_resc_oakley40,104772.6  +- 15695.3 ,22.6  +- 52.3 ,93.7  +- 7.9 ,96370.2  +- 29457.2 ,89.6  +- 26.6 ,79.6  +- 8.4 ,98.2  +- 2.1 ,97.2  +- 4.5 ,2208.3  +- 3845.7 ,98.4  +- 2.8 ,79.4  +- 24.4 ,97.7  +- 3.8 ,87903.6  +- 14509.1 ,36.5  +- 18.1 ,67.5  +- 11.4 ,76.8  +- 21.6 ,58.6  +- 25.7 ,89.0  +- 16.0 ,61.9  +- 23.7 ,97.3  +- 3.4 ,83.4  +- 24.7 ,71.9  +- 10.6 ,83.5  +- 8.7 ,50.1  +- 20.2 ,83.5  +- 8.7 ,80.9  +- 17.9 ,2803 +- 2936,5139 +- 7521
oakley40_max,690.5  +- 6328.3 ,1.2  +- 10.9 ,0.7  +- 6.6 ,690.5  +- 6328.3 ,1.1  +- 9.9 ,1.0  +- 9.3 ,1.0  +- 9.0 ,1.2  +- 10.9 ,89436.9  +- 17504.6 ,1.1  +- 9.8 ,1.2  +- 10.7 ,1.1  +- 9.9 ,675.0  +- 6186.5 ,99.7  +- 2.3 ,1.0  +- 8.9 ,0.7  +- 6.1 ,100.0  +- 0.3 ,1.2  +- 10.9 ,42.7  +- 15.5 ,1.0  +- 9.0 ,1.1  +- 10.3 ,43.3  +- 11.4 ,0.7  +- 6.1 ,59.5  +- 11.1 ,0.7  +- 6.1 ,28.5  +- 13.6 ,3980 +- 3430,6779 +- 4502
tl_oakley40_max,2622.6  +- 17114.5 ,0.0  +- 0.0 ,2.3  +- 14.7 ,2438.1  +- 16000.1 ,2.2  +- 14.2 ,1.9  +- 12.2 ,2.4  +- 15.3 ,2.4  +- 15.3 ,87735.7  +- 20304.7 ,2.4  +- 15.2 ,2.2  +- 14.3 ,2.4  +- 15.2 ,2376.2  +- 15349.5 ,98.5  +- 10.8 ,1.6  +- 10.8 ,1.9  +- 12.5 ,99.1  +- 7.9 ,2.4  +- 15.2 ,42.9  +- 15.1 ,2.4  +- 15.3 ,2.2  +- 14.1 ,43.5  +- 11.5 ,2.1  +- 13.4 ,58.9  +- 12.1 ,2.1  +- 13.4 ,29.5  +- 14.7 ,3939 +- 3404,6894 +- 4452
resc_tl_oakley40_max,2575.0  +- 16822.1 ,0.0  +- 0.0 ,2.2  +- 14.5 ,2409.5  +- 15856.6 ,2.2  +- 14.0 ,1.9  +- 12.2 ,2.4  +- 15.1 ,2.4  +- 15.3 ,87764.3  +- 20183.8 ,2.3  +- 15.0 ,2.2  +- 14.3 ,2.3  +- 15.0 ,2347.6  +- 15181.2 ,98.6  +- 10.5 ,1.6  +- 10.9 ,1.9  +- 12.4 ,99.1  +- 7.9 ,2.4  +- 15.2 ,42.9  +- 15.0 ,2.4  +- 15.1 ,2.2  +- 14.0 ,43.5  +- 11.5 ,2.0  +- 13.2 ,59.0  +- 11.9 ,2.0  +- 13.2 ,29.4  +- 14.6 ,3948 +- 3396,6894 +- 4452
oakley80,99754.8  +- 14541.6 ,2438.1  +- 1489.1 ,89.6  +- 7.3 ,105279.8  +- 20416.3 ,96.9  +- 11.3 ,80.8  +- 8.0 ,94.6  +- 2.8 ,87.9  +- 6.5 ,6139.3  +- 4886.0 ,97.2  +- 2.8 ,83.0  +- 15.6 ,93.4  +- 4.7 ,83972.6  +- 13418.1 ,44.4  +- 16.0 ,69.9  +- 11.3 ,83.6  +- 11.9 ,55.2  +- 28.3 ,92.0  +- 7.7 ,60.8  +- 24.2 ,92.9  +- 4.4 ,88.7  +- 12.5 ,74.5  +- 9.5 ,79.5  +- 7.9 ,58.1  +- 15.9 ,79.5  +- 7.9 ,83.7  +- 12.4 ,2410 +- 2929,3976 +- 4113
